slug,name,notes,productType,businessModel,uxMode,imageryUsage,colorStrategy,typographyTone,layoutDensity,surfaceDepth,themeMode,shapeLanguage,shadowStyle,contentFocus,motionUsage,primaryIntent
superhuman,Superhuman,"Superhuman's design exudes a premium, luxury vibe with a predominantly white canvas and a striking purple gradient hero. The color strategy is centered around a single accent, 'Lavender Glow,' against a clean backdrop, creating a sophisticated atmosphere. Typography is handled with a custom variable font, 'Super Sans VF,' which employs unconventional weights for a unique feel. The layout is balanced, ensuring readability while maintaining a sense of spaciousness. The theme is light-first, with rounded shapes that soften the overall presentation. Content is primarily showcased through product screenshots, emphasizing the UI's elegance and functionality without unnecessary decoration. Overall, the design communicates confidence and clarity, inviting users to engage with the product seamlessly.",digital,saas,taskFocused,mixed,gradientLed,premium,balanced,flat,lightFirst,rounded,subtle,productScreenshots,low,trust
together.ai,Together AI,"Together AI's design exudes an optimistic and airy vibe, utilizing soft pastel gradients that create a dreamlike atmosphere. The color strategy is gradient-led, with a focus on pink, blue, and lavender hues, contrasted by a deep midnight blue for darker sections. Typography is technical, featuring a custom font that employs aggressive negative tracking, enhancing the authoritative feel. The layout is balanced, providing a mix of whitespace and content density, while the dual theme mode allows for a clear distinction between business and research content. The shape language is sharp, with no rounded elements, reinforcing a modern aesthetic. Content is presented through a mix of illustrations, product screenshots, and technical documentation, ensuring a comprehensive user experience.",digital,ai,mixed,mixed,gradientLed,technical,balanced,layered,dual,sharp,subtle,mixed,medium,trust
uber,Uber,"Uber's design exudes a confident minimalism, primarily utilizing a stark black-and-white palette that emphasizes clarity and purpose. The typography, featuring the proprietary UberMove typeface, is technical and efficient, with bold headlines that command attention. The layout is dense, packing information tightly while maintaining a functional whitespace philosophy. The theme operates in dual mode, alternating between light and dark sections, enhancing usability. The shape language is distinctly pill-shaped, creating a tactile interface that is both modern and user-friendly. Content is presented through a mix of warm illustrations and full-bleed photography, adding a human touch to the otherwise monochrome aesthetic. Subtle shadows provide depth without overwhelming the flat design, ensuring a clean and structured appearance.",digital,marketplace,browsingHeavy,mixed,monochrome,technical,dense,flat,dual,pill,subtle,illustration,low,trust
vercel,Vercel,"Vercel's design system embodies a clean, technical aesthetic with a predominantly white background and near-black text, creating a gallery-like feel. The color strategy is monochrome, emphasizing grays and whites, while the typography is technical, featuring the Geist font family with aggressive negative letter-spacing for a compressed look. The layout is sparse, allowing for ample whitespace that enhances readability and focus on content. The theme is light-first, with rounded shapes used throughout the interface. Content is primarily presented through code snippets, supported by product screenshots, reinforcing the developer-centric approach. The layered shadow technique adds depth without clutter, maintaining a sophisticated visual hierarchy.",digital,devtools,browsingHeavy,mixed,monochrome,technical,sparse,layered,lightFirst,mixed,stacked,codeFirst,low,trust
voltagent,VoltAgent,"VoltAgent's design embodies a developer-centric aesthetic with a dark-first theme, utilizing a near-pure-black background that enhances focus. The color strategy is single-accent, featuring an electric emerald green that serves as the primary visual cue against warm-neutral grays. Typography is technical, leveraging system fonts for headings and Inter for body text, creating a sense of authority and speed. The layout is dense, with tightly packed elements that convey a sense of urgency and purpose. Rounded shapes soften the interface, while the content is primarily presented through code snippets, reinforcing the platform's engineering focus. The overall vibe is one of high-tech sophistication, designed for developers who thrive in a command-line environment.",digital,devtools,taskFocused,mixed,singleAccent,technical,dense,flat,darkFirst,mixed,stacked,codeFirst,medium,trust
warp,Warp,"Warp's design exudes a warm, inviting atmosphere, reminiscent of a campfire in a dark forest. The color strategy is almost monochromatic, utilizing warm grays and a near-black background that feels earthy rather than cold. Typography is centered around the Matter font, which is geometric yet approachable, enhancing legibility and warmth. The layout is balanced, with generous whitespace that allows nature photography to breathe alongside terminal screenshots, creating a calm and productive vibe. The theme is dark-first, with pill-shaped buttons that maintain a restrained aesthetic. Content is presented through a mix of photography and product screenshots, reinforcing the lifestyle aspect of the brand while ensuring clarity and focus.",digital,devtools,creationTool,mixed,monochrome,neutral,balanced,flat,darkFirst,mixed,none,mixed,low,trust
webflow,Webflow,"Webflow's design exudes a modern and tool-centric vibe, emphasizing a 'design without code' philosophy. The color strategy employs a clean white background with a vibrant primary blue and a rich array of secondary colors, creating a lively yet professional atmosphere. Typography is expressive, utilizing the custom WF Visual Sans Variable font, which adds a confident touch to the overall presentation. The layout is balanced, ensuring that content is easily digestible without feeling cluttered. The design is light-first, enhancing accessibility and readability. Sharp shapes dominate the interface, contributing to a sleek and contemporary look. Content is primarily presented through illustrations and interactive elements, supported by a medium level of motion to engage users effectively.",digital,saas,creationTool,mixed,multiAccent,expressive,balanced,layered,lightFirst,sharp,stacked,illustration,medium,trust
wise,Wise,"Wise's design exudes a bold and confident vibe, utilizing a warm off-white background with striking lime-green accents. The typography is expressive, featuring massive, dense headlines in Wise Sans at weight 900, creating an urgent and impactful presence. The color strategy employs multiple accents, primarily the vibrant Wise Green, which contrasts sharply against near-black text. The layout is dense, with a flat surface depth that emphasizes clarity and readability. The theme is light-first, enhancing the optimistic feel of the platform. Shape language is predominantly pill-shaped for buttons, contributing to a friendly and approachable aesthetic. Content is presented through a mix of illustrations and typography, ensuring a dynamic and engaging user experience.",digital,fintech,browsingHeavy,mixed,multiAccent,expressive,dense,flat,lightFirst,pill,ring,illustration,medium,trust
x.ai,xAI,"The overall vibe of xAI's design is a stark, technical minimalism that emphasizes functionality over decoration. The color strategy is strictly monochrome, utilizing a near-black background with pure white text to create high contrast. Typography is dominated by a technical tone, featuring a monospace font for display elements, which reinforces the brand's engineering roots. The layout is dense, with a focus on information delivery, while the surface depth remains flat, avoiding any shadows or gradients. The theme mode is dark-first, enhancing the terminal-like aesthetic. The shape language is sharp, with minimal rounding, contributing to a precise, brutalist feel. Content is presented primarily through code and text, with a deliberate absence of imagery, reinforcing the focus on clarity and technical credibility.",digital,ai,browsingHeavy,textFirst,monochrome,technical,dense,flat,darkFirst,sharp,none,codeFirst,low,trust
zapier,Zapier,"Zapier's design exudes a warm, approachable professionalism with a cream background that feels organic. The color strategy employs a single accent, the vibrant Zapier Orange, used sparingly for CTAs, creating an energetic yet inviting atmosphere. Typography is expressive, featuring a mix of Degular Display for impactful headlines and Inter for functional text, ensuring clarity and engagement. The layout is balanced, with a flat surface depth that emphasizes content without overwhelming the user. The design adopts a light-first theme mode, enhancing readability and warmth. Rounded shapes are prevalent, contributing to a friendly aesthetic. Content is primarily presented through product screenshots, effectively showcasing functionality while maintaining a clean, organized look.",digital,saas,taskFocused,mixed,singleAccent,expressive,balanced,flat,lightFirst,mixed,none,productScreenshots,low,trust
